time,throttle
0.0,0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.0
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
1.996,-0.999969482421875
